"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Host Connected (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
1,01/20/19 11:00:00 AM,55.884,0.00,,,
2,01/20/19 12:00:00 PM,56.230,,,,
3,01/20/19 12:05:33 PM,,0.01,,,
4,01/20/19 01:00:00 PM,56.750,,,,
5,01/20/19 02:00:00 PM,55.537,,,,
6,01/20/19 03:00:00 PM,54.669,,,,
7,01/20/19 04:00:00 PM,61.227,,,,
8,01/20/19 05:00:00 PM,52.750,,,,
9,01/20/19 05:58:56 PM,,0.02,,,
10,01/20/19 06:00:00 PM,51.523,,,,
11,01/20/19 06:25:53 PM,,0.03,,,
12,01/20/19 06:44:50 PM,,0.04,,,
13,01/20/19 06:55:50 PM,,0.05,,,
14,01/20/19 07:00:00 PM,46.728,,,,
15,01/20/19 07:05:56 PM,,0.06,,,
16,01/20/19 07:26:33 PM,,0.07,,,
17,01/20/19 08:00:00 PM,46.188,,,,
18,01/20/19 09:00:00 PM,46.908,,,,
19,01/20/19 10:00:00 PM,47.446,,,,
20,01/20/19 11:00:00 PM,45.828,,,,
21,01/21/19 12:00:00 AM,46.728,,,,
22,01/21/19 01:00:00 AM,46.908,,,,
23,01/21/19 02:00:00 AM,46.548,,,,
24,01/21/19 03:00:00 AM,46.369,,,,
25,01/21/19 03:06:05 AM,,0.08,,,
26,01/21/19 03:09:06 AM,,0.09,,,
27,01/21/19 03:10:16 AM,,0.10,,,
28,01/21/19 03:13:58 AM,,0.11,,,
29,01/21/19 04:00:00 AM,44.922,,,,
30,01/21/19 04:38:23 AM,,0.12,,,
31,01/21/19 05:00:00 AM,44.742,,,,
32,01/21/19 06:00:00 AM,44.560,,,,
33,01/21/19 07:00:00 AM,44.013,,,,
34,01/21/19 08:00:00 AM,44.195,,,,
35,01/21/19 09:00:00 AM,49.050,,,,
36,01/21/19 10:00:00 AM,63.455,,,,
37,01/21/19 11:00:00 AM,67.050,,,,
38,01/21/19 12:00:00 PM,67.221,,,,
39,01/21/19 12:06:58 PM,,0.13,,,
40,01/21/19 01:00:00 PM,67.564,,,,
41,01/21/19 02:00:00 PM,67.906,,,,
42,01/21/19 03:00:00 PM,67.221,,,,
43,01/21/19 04:00:00 PM,64.481,,,,
44,01/21/19 05:00:00 PM,57.614,,,,
45,01/21/19 06:00:00 PM,47.624,,,,
46,01/21/19 07:00:00 PM,45.828,,,,
47,01/21/19 08:00:00 PM,44.922,,,,
48,01/21/19 09:00:00 PM,44.013,,,,
49,01/21/19 10:00:00 PM,43.099,,,,
50,01/21/19 11:00:00 PM,44.742,,,,
51,01/22/19 12:00:00 AM,46.908,,,,
52,01/22/19 01:00:00 AM,47.624,,,,
53,01/22/19 02:00:00 AM,47.802,,,,
54,01/22/19 03:00:00 AM,47.446,,,,
55,01/22/19 04:00:00 AM,49.050,,,,
